iteration,strategy_id,version,sharpe_ratio,total_return,max_drawdown,win_rate,profit_factor,total_trades,grade,timestamp
0,strat_fd232956,1,-0.4022,-0.1533,-0.1911,0.2907,0.6484,86,F,2026-03-09T15:57:05.718888
1,strat_2b86d8bf,1,0.1390,0.0334,-0.1011,0.4286,1.4057,7,C,2026-03-09T15:57:05.787174
2,strat_c7b02131,1,-0.0550,-0.0302,-0.1864,0.3636,0.9538,11,F,2026-03-09T15:57:05.859963
3,strat_edfb8a9f,1,0.7490,0.1703,-0.0380,0.7619,4.2514,21,B,2026-03-09T15:57:05.926185
4,strat_c6a30a19,1,-0.2104,-0.0922,-0.1678,0.4211,0.7168,19,F,2026-03-09T15:57:06.004090
5,strat_c69bc571,2,0.0000,0.0000,0.0000,0.0000,0.0000,0,F,2026-03-09T15:57:06.057686
6,strat_78f6e118,2,0.0000,0.0000,0.0000,0.0000,0.0000,0,F,2026-03-09T15:57:06.118349
7,strat_de0f8afc,2,0.0000,0.0000,0.0000,0.0000,0.0000,0,F,2026-03-09T15:57:06.177875
8,strat_7950dc93,2,0.0000,0.0000,0.0000,0.0000,0.0000,0,F,2026-03-09T15:57:06.239512
9,strat_da0233fc,2,0.0000,0.0000,0.0000,0.0000,0.0000,0,F,2026-03-09T15:57:06.300682
10,strat_342b340d,2,0.0000,0.0000,0.0000,0.0000,0.0000,0,F,2026-03-09T15:57:06.359507
11,strat_9a0ce004,2,0.0000,0.0000,0.0000,0.0000,0.0000,0,F,2026-03-09T15:57:06.419633
12,strat_4f9016c6,2,0.4735,0.1109,-0.0673,0.7391,2.2293,23,C,2026-03-09T15:57:06.488322
13,strat_702d2ce1,2,0.0000,0.0000,0.0000,0.0000,0.0000,0,F,2026-03-09T15:57:06.608301
14,strat_c7233ad5,2,0.0000,0.0000,0.0000,0.0000,0.0000,0,F,2026-03-09T15:57:06.665530
15,strat_a003a7b1,2,0.0000,0.0000,0.0000,0.0000,0.0000,0,F,2026-03-09T15:57:06.723836
16,strat_eb09fb3d,2,0.4735,0.1109,-0.0673,0.7391,2.2293,23,C,2026-03-09T15:57:06.789175
17,strat_ab1528b6,2,0.0000,0.0000,0.0000,0.0000,0.0000,0,F,2026-03-09T15:57:06.848286
18,strat_ba0dad34,2,0.4735,0.1109,-0.0673,0.7391,2.2293,23,C,2026-03-09T15:57:06.916639
19,strat_c317cd3a,2,0.0000,0.0000,0.0000,0.0000,0.0000,0,F,2026-03-09T15:57:06.975185
20,strat_c43cb41a,2,0.4735,0.1109,-0.0673,0.7391,2.2293,23,C,2026-03-09T15:57:07.040679
21,strat_aaf1ae23,2,0.4735,0.1109,-0.0673,0.7391,2.2293,23,C,2026-03-09T15:57:07.177415
22,strat_6c237208,2,0.0000,0.0000,0.0000,0.0000,0.0000,0,F,2026-03-09T15:57:07.247795
23,strat_4c8ec9bb,2,0.0000,0.0000,0.0000,0.0000,0.0000,0,F,2026-03-09T15:57:07.305336
24,strat_84db743f,2,0.0000,0.0000,0.0000,0.0000,0.0000,0,F,2026-03-09T15:57:07.363178
25,strat_339e086d,2,0.0000,0.0000,0.0000,0.0000,0.0000,0,F,2026-03-09T15:57:07.423683
26,strat_63665edc,2,0.0000,0.0000,0.0000,0.0000,0.0000,0,F,2026-03-09T15:57:07.483633
27,strat_8ff6aecb,2,0.6214,0.1559,-0.0527,0.7826,3.7457,23,B,2026-03-09T15:57:07.551242
28,strat_f53e8442,2,0.0000,0.0000,0.0000,0.0000,0.0000,0,F,2026-03-09T15:57:07.605898
29,strat_ddc02ab7,2,0.0000,0.0000,0.0000,0.0000,0.0000,0,F,2026-03-09T15:57:07.743818
0,strat_6e5e6d57,1,0.0474,0.0092,-0.1458,0.4091,1.0640,22,C,2026-03-09T15:57:48.073167
1,strat_4a2a8c47,1,-0.2825,-0.1152,-0.1655,0.2897,0.7858,107,F,2026-03-09T15:57:48.111174
2,strat_11287683,1,-0.4406,-0.1540,-0.1560,0.2308,0.3833,13,F,2026-03-09T15:57:48.145582
3,strat_551d6f95,1,-0.3312,-0.1254,-0.1808,0.1765,0.5942,17,F,2026-03-09T15:57:48.182502
4,strat_1b29acc7,1,0.0963,0.0268,-0.1205,0.3913,1.1330,23,D,2026-03-09T15:57:48.213519
5,strat_506c3cdf,2,0.0415,0.0066,-0.1576,0.3600,1.0513,25,D,2026-03-09T15:57:48.250408
6,strat_3f48e202,2,0.0304,0.0021,-0.1589,0.3600,1.0354,25,D,2026-03-09T15:57:48.285621
7,strat_ae69cc28,2,-0.1883,-0.0739,-0.1782,0.2500,0.7373,20,F,2026-03-09T15:57:48.319405
8,strat_abbe2b15,2,0.0304,0.0021,-0.1589,0.3600,1.0354,25,D,2026-03-09T15:57:48.354824
9,strat_cdf9daef,2,0.1604,0.0557,-0.1576,0.4074,1.2125,27,C,2026-03-09T15:57:48.388125
10,strat_ab968f17,3,-0.1157,-0.0587,-0.2135,0.3667,0.8801,30,F,2026-03-09T15:57:48.424469
11,strat_a2bf0264,3,-0.0690,-0.0404,-0.2024,0.3667,0.9221,30,F,2026-03-09T15:57:48.461827
12,strat_e5a87fa8,3,-0.0220,-0.0210,-0.1863,0.3929,0.9685,28,F,2026-03-09T15:57:48.500226
13,strat_7981d911,3,-0.0724,-0.0413,-0.1929,0.3478,0.8205,23,F,2026-03-09T15:57:48.536642
14,strat_bed79cf7,3,-0.0572,-0.0352,-0.1972,0.3929,0.9332,28,F,2026-03-09T15:57:48.574056
15,strat_83a4cec2,3,-0.0228,-0.0213,-0.1865,0.3929,0.9675,28,F,2026-03-09T15:57:48.611328
16,strat_353e9c53,3,-0.0272,-0.0215,-0.1935,0.3600,0.8961,25,F,2026-03-09T15:57:48.651193
17,strat_ac881154,3,-0.0220,-0.0210,-0.1863,0.3929,0.9685,28,F,2026-03-09T15:57:48.688883
18,strat_b95f03cf,3,0.0493,0.0099,-0.1825,0.3929,1.0581,28,D,2026-03-09T15:57:48.752540
19,strat_c5533d0b,3,-0.0207,-0.0204,-0.1858,0.3929,0.9700,28,F,2026-03-09T15:57:48.790608
20,strat_974597ea,3,-0.0207,-0.0204,-0.1858,0.3929,0.9700,28,F,2026-03-09T15:57:48.829636
21,strat_49487e59,3,-0.0220,-0.0210,-0.1863,0.3929,0.9685,28,F,2026-03-09T15:57:48.868501
22,strat_05f53603,3,-0.0304,-0.0245,-0.1892,0.3929,0.9591,28,F,2026-03-09T15:57:48.907422
23,strat_99c053ce,3,-0.0304,-0.0245,-0.1892,0.3929,0.9591,28,F,2026-03-09T15:57:48.948391
24,strat_89e92c1a,3,-0.0690,-0.0404,-0.2024,0.3667,0.9221,30,F,2026-03-09T15:57:48.985914
25,strat_e375bc0c,3,0.0290,0.0009,-0.1815,0.4194,1.0311,31,C,2026-03-09T15:57:49.024242
26,strat_e8cf92e7,3,-0.0572,-0.0352,-0.1972,0.3929,0.9332,28,F,2026-03-09T15:57:49.098358
27,strat_5aa8de9c,3,-0.0220,-0.0210,-0.1863,0.3929,0.9685,28,F,2026-03-09T15:57:49.138818
28,strat_28b3a3f1,3,-0.0724,-0.0413,-0.1929,0.3478,0.8205,23,F,2026-03-09T15:57:49.177082
29,strat_14ec4365,3,0.0109,-0.0063,-0.1817,0.3871,1.0109,31,F,2026-03-09T15:57:49.215071
0,strat_9a0721b5,1,-0.3264,-0.1272,-0.1814,0.3023,0.7138,86,F,2026-03-09T15:58:27.827832
1,strat_52af5db5,1,0.1601,0.0427,-0.1208,0.3750,1.4635,8,D,2026-03-09T15:58:27.858105
2,strat_434fa374,1,-0.1061,-0.0537,-0.1766,0.4667,0.8415,15,F,2026-03-09T15:58:27.896857
3,strat_92b7c05f,1,-0.1366,-0.0310,-0.0779,0.2500,0.6601,4,F,2026-03-09T15:58:27.922651
4,strat_c0519f0d,1,-0.2905,-0.1229,-0.1838,0.2967,0.7171,91,F,2026-03-09T15:58:27.957676
5,strat_a743fe4e,1,-0.1116,-0.0516,-0.1319,0.3011,0.8840,93,F,2026-03-09T15:58:27.991866
6,strat_537ddb00,1,-0.3351,-0.1362,-0.1796,0.2812,0.7316,96,F,2026-03-09T15:58:28.026770
7,strat_d280c820,1,0.0695,0.0124,-0.0675,0.3333,1.1774,9,D,2026-03-09T15:58:28.053472
